0,1,2,3,4,5,6,7,8,ID
vainilla,roble,chocolate,mora,cereza negra,casis,terroso,cuero,,3004992
cereza,frambuesa,fruta seca,cereza negra,mora,arándano,pimienta verde,pimiento,,1367800
cereza,frutos rojos,tofi,vainilla,roble,tabaco,humo,cuero,hongo,1982336
roble,vainilla,chocolate,mora,fruta negra,ciruela,cuero,terroso,humo,1191230
roble,cedro,chocolate,frutos rojos,cereza,,terroso,cuero,hongo,1607033
terroso,cuero,humo,roble,tabaco,vainilla,cereza,frambuesa,fresa,1202731
cuero,terroso,aceite balsámico,roble,tabaco,vainilla,cereza,frutos rojos,tofi,1173325
cereza,cereza roja,cuero,roble,clavo de olor,uva,canela,regaliz,pimiento,5449741
chocolate,café,tabaco,fruta negra,arándano, ,cereza,frutos rojos,tofi,1212594
chocolate amargo,chocolate,,cacao,aceite balsámico,,cereza,frambuesa,fruta seca,1161022
ciruela,mora,casis,roble,vainilla,chocolate,cuero,terroso,humo,1221428
ciruela,frutos del bosque,,roble,tabaco,vainilla,cereza,frutos rojos,rosa seca,2040275
roble,vainilla,chocolate,mora,arándano,cereza,cereza,grosella roja, ,6917981
fresa,cereza,frambuesa,terroso,humo,hongo,roble,caramelo,chocolate,2388389
roble,tabaco,caramelo,cereza,frambuesa,fresa,ciruela,cereza negra,,7290507
cereza,frambuesa,cereza,roble,clavo de olor,tofi,ciruela,fruta negra,mora,1902965
arándano rojo,cereza, ,terroso,cuero,humo,regaliz,menta,orégano,5612484
cereza,frambuesa,fresa,terroso,minerales,hongo,mora,ciruela,cereza Bing,1484764
roble,vainilla,chocolate,mora,ciruela,frutos rojos,cuero,terroso,humo,7980485
café,chocolate,roble,fruta negra,ciruela,mora,cuero,terroso,humo,1372976
terroso,cuero,humo,ciruela,cereza negra, ,roble,tabaco,vainilla,1151249
cereza,cereza roja,fresa,vainilla,roble,tabaco,cuero,suelo del bosque,,10718390
chocolate,vainilla,roble,casis,ciruela,cereza,cereza,frutos rojos,tofi,1227701
cereza,frambuesa,fruta seca,cuero,hongo,humo,roble,cedro,vainilla,2409595
roble,chocolate,tabaco,mora,ciruela,fruta negra,cuero,terroso,humo,1127288
vainilla,café,chocolate,arándano,fruta negra, ,cuero,terroso,solución salina,1241150
roble,vainilla,clavo de olor,frutos del bosque,cereza,,cereza,fresa,,5706059
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,6858544
fresa,frambuesa,frutos rojos,terroso,hongo,humo,roble,vainilla,tabaco,1153024
cereza,grosella roja,,fruta negra,,,hibisco,,,10722615
menta,eucalipto,regaliz,casis,casis,ciruela,chocolate,chocolate amargo,,76169
ciruela,frutos del bosque,,roble,chocolate,cedro,pimienta,pimienta blanca,,1553460
ciruela,mora,arándano,roble,caramelo,cedro,pimienta blanca,pimiento,,75989
terroso,cuero,suelo del bosque,mora,ciruela,cereza Bing,cereza,frutos rojos,tofi,2248147
roble,chocolate,chocolate,cuero,humo,carne de caza,ciruela,mora,casis,1731057
roble,vainilla,cigarro,cuero,hongo,humo,cereza,,,5512161
cereza,frambuesa,cereza,terroso,hierro,,virutas,,,6270384
cuero,terroso,humo,mora,arándano,fruta negra,cereza,bebida cola,,5530829
cereza,fresa,frutos rojos,minerales,terroso,humo,roble,vainilla,chocolate,4653799
mora,fruta negra,casis,roble,tabaco,vainilla,cuero,terroso,humo,1117453
frutos rojos,frambuesa,,terroso,minerales,humo,roble,tabaco,cigarro,7206546
frutos rojos,cereza,tofi,cuero,terroso,minerales,ajedrea,pimienta blanca,,1316501
fresa,frambuesa,cereza,aceite balsámico,humo, ,roble,chocolate amargo,,1286402
roble,vainilla,chocolate,fruta negra,mora,cereza,terroso,cuero,humo,2895131
roble,chocolate,vainilla,cereza,frutos rojos,tofi,cuero,aceite balsámico,,1257829
mora,cereza negra,romero,tabaco,mezcla de especias para vino caliente,,cuero,minerales,humo,1658625
roble,vainilla,tabaco,ciruela,cereza negra, ,cuero,humo,terroso,1166432
frambuesa,cereza,cereza,mora,ciruela,cereza Bing,regaliz,pimienta,carne,6111676
tabaco,roble,vainilla,casis,mora,ciruela,pimienta,regaliz,carne,1927946
roble,tabaco,vainilla,mora,ciruela,frutos rojos,terroso,humo,cuero,23783
roble,tabaco,chocolate,humo,cuero,terroso,cereza,frutos rojos,rosa seca,1221846
cuero,terroso,hongo,roble,vainilla,tabaco,cereza,frutos rojos,tofi,71594
roble,café,tabaco,cereza,frambuesa,arándano,mora,cereza negra,casis,2383013
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,11535972
tabaco,café,roble,cuero,terroso,humo,mora,ciruela,fruta negra,77029
ciruela,arándano,mora,terroso,cuero,hongo,clavo de olor,tabaco, ,1205167
cereza,frutos rojos,tofi,roble,chocolate,tomate,terroso,cuero,minerales,1900616
fresa,cereza,frambuesa,terroso,cuero,suelo del bosque,vainilla,chocolate,roble,1241236
cereza,fresa,arándano,roble,mantequilla,uva,terroso,cuero,humo,1199045
