,Aves,Carneadobada,Carnedecaza,Cerdo,Champiñones,Comidapicante,Cordero,Desconocido,Lacomidabasuravale,Maridajes,Nodisponible,Pasta,Pescadoazul,Pescadoblanco,Quesoazul,Quesocurado,Quesodelechedecabra,Quesotiernoycremoso,Ternera,Terneralechal,Vegetariana,ID
204,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,7102196
205,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1084764
206,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1241009
207,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,6123657
208,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7777697
209,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,9691161
210,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2158459
211,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,5987334
212,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,9085549
213,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2694784
214,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,7210144
215,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1462797
216,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2672534
217,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,89833
218,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,11063520
219,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,1,0,1961351
220,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,1,0,4018591
221,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1467833
222,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1165431
223,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,10619877
224,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2055411
225,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1656315
226,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1169652
227,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1189450
228,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1765097
229,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1165475
230,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1927267
231,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2059635
232,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1199781
233,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,6313885
234,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1241440
235,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1180600
236,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3004992
237,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1367800
238,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1982336
239,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1191230
240,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1607033
241,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1202731
242,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1173325
243,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,5449741
244,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1212594
245,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1161022
246,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1221428
247,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2040275
248,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,6917981
249,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2388389
250,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,7290507
251,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1902965
252,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5612484
253,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1484764
254,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,7980485
255,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1372976
256,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1151249
257,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,10718390
258,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1227701
259,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,2409595
260,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1127288
261,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1241150
262,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,5706059
263,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,6858544
264,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1153024
265,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,10722615
266,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,76169
267,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1553460
268,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,75989
269,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2248147
270,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1731057
271,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,5512161
272,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,6270384
273,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,5530829
274,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,4653799
